observableId	simulationConditionId	time	measurement	datasetId	noiseParameters
rki_germany_7day_average_cases	rki_germany_7day_average	6	118.14285714285714	rki_germany_7day_average	0.5413957632491234
rki_germany_7day_average_cases	rki_germany_7day_average	13	793.7142857142857	rki_germany_7day_average	0.6205284839874265
rki_germany_7day_average_cases	rki_germany_7day_average	20	3016.714285714286	rki_germany_7day_average	0.37505414757408634
rki_germany_7day_average_cases	rki_germany_7day_average	27	4739.0	rki_germany_7day_average	0.2854740785740143
rki_germany_7day_average_cases	rki_germany_7day_average	34	5225.142857142857	rki_germany_7day_average	0.2593345743890353
rki_germany_7day_average_cases	rki_germany_7day_average	41	3973.714285714286	rki_germany_7day_average	0.2853293355047266
rki_germany_7day_average_cases	rki_germany_7day_average	48	2544.285714285714	rki_germany_7day_average	0.28664253734976786
rki_germany_7day_average_cases	rki_germany_7day_average	55	1861.2857142857142	rki_germany_7day_average	0.235064438370399
rki_germany_7day_average_cases	rki_germany_7day_average	62	1102.2857142857142	rki_germany_7day_average	0.3295932981880602
rki_germany_7day_average_cases	rki_germany_7day_average	69	900.5714285714286	rki_germany_7day_average	0.33147984356475846
rki_germany_7day_average_cases	rki_germany_7day_average	76	679.1428571428571	rki_germany_7day_average	0.30455452301256114
rki_germany_7day_average_cases	rki_germany_7day_average	83	527.2857142857143	rki_germany_7day_average	0.3700108566027477
rki_germany_7day_average_cases	rki_germany_7day_average	90	463.2857142857143	rki_germany_7day_average	0.3143921072111548
rki_germany_7day_average_cases	rki_germany_7day_average	97	337.42857142857144	rki_germany_7day_average	0.4532706209788348
rki_germany_7day_average_deaths	rki_germany_7day_average	6	1.5714285714285714	rki_germany_7day_average	1.1535070491317747
rki_germany_7day_average_deaths	rki_germany_7day_average	13	10.142857142857142	rki_germany_7day_average	0.6624211840171746
rki_germany_7day_average_deaths	rki_germany_7day_average	20	59.142857142857146	rki_germany_7day_average	0.5046498222824914
rki_germany_7day_average_deaths	rki_germany_7day_average	27	194.85714285714286	rki_germany_7day_average	0.3681975063937354
rki_germany_7day_average_deaths	rki_germany_7day_average	34	318.7142857142857	rki_germany_7day_average	0.29613816282973576
rki_germany_7day_average_deaths	rki_germany_7day_average	41	268.14285714285717	rki_germany_7day_average	0.25729334563197925
rki_germany_7day_average_deaths	rki_germany_7day_average	48	180.14285714285714	rki_germany_7day_average	0.19853746779405396
rki_germany_7day_average_deaths	rki_germany_7day_average	55	115.28571428571429	rki_germany_7day_average	0.22175378151391997
rki_germany_7day_average_deaths	rki_germany_7day_average	62	55.57142857142857	rki_germany_7day_average	0.3646430868861501
rki_germany_7day_average_deaths	rki_germany_7day_average	69	36.142857142857146	rki_germany_7day_average	0.34202096659034986
rki_germany_7day_average_deaths	rki_germany_7day_average	76	23.428571428571427	rki_germany_7day_average	0.27091292550646
rki_germany_7day_average_deaths	rki_germany_7day_average	83	16.0	rki_germany_7day_average	0.4868050602312667
rki_germany_7day_average_deaths	rki_germany_7day_average	90	9.714285714285714	rki_germany_7day_average	0.44362068026498164
rki_germany_7day_average_deaths	rki_germany_7day_average	97	6.428571428571429	rki_germany_7day_average	0.400205708422771
